net,length_um
_186_,219.64
_167_,215.33
_111_,211.46
_072_,211.06
_224_,208.43
_195_,202.44
_176_,192.44
_112_,187.28
_157_,185.75
_118_,178.87
_066_,174.06
_067_,163.685
net6,163.46
_065_,163.05
net3,148.88
_110_,148.18
_113_,143.705
_064_,139.3
clknet_0_clk,136.06
_214_,128.28
_070_,124.48
_116_,115.045
net13,112.84
_205_,96.1
net14,93.3
net8,87
net5,86.87
net2,86.29
clknet_3_2__leaf_clk,83.94
net15,83.07
clknet_3_0__leaf_clk,81.755
clknet_3_4__leaf_clk,81.26
clk,79.77
net12,79.76
net10,78.02
clknet_3_7__leaf_clk,77.97
clknet_3_3__leaf_clk,75.32
clknet_3_5__leaf_clk,72.76
clknet_3_6__leaf_clk,72.695
net11,72.62
net16,69.9
net9,68.68
net17,62.535
net7,61.905
net18,61.145
clknet_3_1__leaf_clk,56.4
net4,49.4
net1,44.2
registers\[2\]\[7\],35.36
registers\[3\]\[7\],34.18
net20,33.76
registers\[3\]\[6\],33.46
registers\[5\]\[4\],32.56
registers\[4\]\[5\],30.66
net19,30.58
registers\[6\]\[1\],30.475
registers\[5\]\[7\],29.7
net34,29.3
registers\[7\]\[3\],27.36
net24,27.3
registers\[4\]\[6\],27.1
registers\[5\]\[6\],26.94
registers\[4\]\[3\],26.78
net26,26.68
registers\[2\]\[6\],26.48
net31,25.82
registers\[0\]\[6\],25.64
net27,25.5
net28,25.5
registers\[0\]\[7\],24.84
registers\[7\]\[4\],24.6
registers\[4\]\[0\],24.5
registers\[7\]\[0\],24.38
registers\[4\]\[4\],24.28
registers\[7\]\[2\],24.035
_145_,23.54
registers\[7\]\[5\],22.92
_073_,21.98
registers\[3\]\[4\],21.72
registers\[7\]\[1\],21.64
registers\[5\]\[5\],21.54
registers\[0\]\[5\],21
registers\[5\]\[3\],20.92
net22,20.34
registers\[4\]\[2\],19.87
net33,19.52
net23,19.44
registers\[5\]\[0\],19.06
registers\[7\]\[7\],19.06
net29,18.86
registers\[5\]\[2\],18.82
registers\[0\]\[1\],18.78
net30,18.6
registers\[4\]\[1\],18.54
registers\[0\]\[4\],18.44
_099_,18.4
net32,18.36
_150_,17.98
registers\[6\]\[4\],17.775
registers\[2\]\[3\],17.7
writeReg[0],17.46
registers\[4\]\[7\],17.22
registers\[1\]\[2\],17.21
_104_,16.6
net21,16.56
registers\[0\]\[0\],16.24
registers\[3\]\[5\],16.22
_129_,16.2
registers\[2\]\[4\],15.92
registers\[0\]\[3\],15.9
readData2[7],15.86
readData1[7],15.84
registers\[6\]\[7\],15.77
registers\[2\]\[0\],15.72
registers\[0\]\[2\],15.56
registers\[3\]\[2\],15.56
registers\[6\]\[0\],15.53
registers\[6\]\[2\],15.135
registers\[7\]\[6\],15.12
net86,15.02
registers\[3\]\[3\],14.5
registers\[6\]\[3\],14.31
net25,14.24
_101_,14.04
registers\[2\]\[1\],14.04
writeData[7],13.9
_141_,13.88
_121_,13.74
registers\[1\]\[3\],13.32
registers\[6\]\[5\],13.17
_125_,13.16
regWrite,13.16
registers\[2\]\[2\],13.16
_213_,12.86
readData1[3],12.58
readReg2[1],12.43
_119_,12.4
_144_,12.4
registers\[1\]\[6\],12.22
_140_,12.2
_208_,12.18
_095_,12.16
registers\[1\]\[7\],12.1
registers\[6\]\[6\],12.05
registers\[1\]\[0\],11.96
_078_,11.84
writeData[3],11.8
_139_,11.76
_089_,11.58
registers\[3\]\[1\],11.36
_154_,11.24
_037_,11.165
registers\[5\]\[1\],11.08
registers\[2\]\[5\],10.54
_093_,10.52
readData1[5],10.32
readData2[3],10.32
net69,10.14
writeReg[2],10.1
_160_,9.94
readData2[5],9.89
_178_,9.88
net79,9.86
registers\[1\]\[1\],9.8
_083_,9.64
_096_,9.48
_173_,9.48
_053_,9.445
readData1[2],9.42
readData2[2],9.42
_103_,9.4
_200_,9.4
net61,9.38
registers\[3\]\[0\],9.36
_189_,9.34
net87,9.32
_136_,9.3
_132_,9.24
writeReg[1],9.18
net96,9.14
registers\[1\]\[5\],9.12
_124_,9.08
_199_,8.98
_050_,8.945
_135_,8.86
writeData[2],8.84
net39,8.8
net68,8.76
net85,8.72
_126_,8.56
_079_,8.52
_210_,8.48
net90,8.48
_172_,8.44
net81,8.36
registers\[1\]\[4\],8.32
_128_,8.275
readData1[6],8.25
_166_,8.24
_071_,8.17
_090_,8.06
_191_,8.06
_091_,7.9
net62,7.86
net51,7.82
_080_,7.68
_184_,7.66
_120_,7.6
readData1[1],7.59
_164_,7.52
_220_,7.52
_009_,7.42
_062_,7.395
_152_,7.26
_226_,7.22
_170_,7.18
_171_,7.18
_016_,7.165
_039_,7.155
_217_,7.14
readReg2[0],7.11
_162_,7.06
net71,7
net80,7
net55,6.98
_047_,6.96
_002_,6.955
_081_,6.86
_092_,6.815
_209_,6.72
net67,6.72
_207_,6.6
net43,6.6
net45,6.6
writeData[5],6.55
_100_,6.54
net37,6.54
_055_,6.5
net64,6.5
net77,6.5
_153_,6.475
readReg1[0],6.43
_007_,6.425
_023_,6.365
_168_,6.26
_194_,6.26
_052_,6.225
readData2[4],6.21
_201_,6.2
_192_,6.18
_044_,6.165
_084_,6.14
_151_,6.14
_221_,6.14
_123_,6.03
_148_,6.03
_005_,6.005
readData2[6],5.99
_204_,5.96
_088_,5.92
writeData[4],5.87
net92,5.84
net93,5.84
_188_,5.8
readData1[0],5.75
net35,5.72
_074_,5.68
_094_,5.68
_109_,5.68
_179_,5.68
_187_,5.68
net49,5.68
net78,5.68
_143_,5.555
_019_,5.545
_063_,5.545
readData1[4],5.53
_013_,5.5
_108_,5.5
_076_,5.48
_015_,5.435
_042_,5.405
_198_,5.34
_038_,5.315
_127_,5.26
net65,5.26
net66,5.16
net42,5.12
_133_,5.095
readData2[0],5.07
readReg1[1],5.07
writeData[0],5.07
_051_,5.045
_138_,5.015
_017_,4.975
_069_,4.94
_085_,4.88
_197_,4.88
_228_,4.88
_229_,4.88
writeData[6],4.85
_159_,4.8
_190_,4.76
_219_,4.76
net60,4.76
readReg1[2],4.73
readReg2[2],4.73
writeData[1],4.73
net40,4.68
net70,4.66
_147_,4.58
net57,4.58
_102_,4.555
_174_,4.42
readData2[1],4.39
_041_,4.385
_061_,4.385
_206_,4.34
net36,4.34
net53,4.34
net83,4.34
_045_,4.295
net48,4.24
_098_,4.12
net63,4.12
_006_,4.065
_212_,4
_011_,3.965
_225_,3.9
net59,3.88
net76,3.88
_231_,3.76
net41,3.76
_149_,3.66
_105_,3.42
net54,3.42
net95,3.32
_117_,3.31
_008_,3.245
_030_,3.245
_036_,3.225
_122_,3.2
_169_,3.08
_177_,3.08
_029_,3.005
_032_,3.005
_134_,2.98
_155_,2.96
_223_,2.96
net75,2.96
net88,2.96
_054_,2.885
_018_,2.86
_059_,2.835
net52,2.76
net91,2.76
_012_,2.715
_024_,2.715
_027_,2.715
_021_,2.705
_046_,2.705
_086_,2.64
_106_,2.64
_137_,2.64
_142_,2.64
_182_,2.62
_222_,2.62
_026_,2.545
_048_,2.545
_049_,2.545
_056_,2.545
_163_,2.52
_193_,2.52
_232_,2.52
_115_,2.5
_130_,2.5
_165_,2.5
_211_,2.5
_004_,2.485
_114_,2.4
_001_,2.375
_033_,2.375
_031_,2.325
_034_,2.325
net38,2.3
net46,2.3
net47,2.3
net50,2.3
net56,2.3
net58,2.3
net72,2.3
net73,2.3
net74,2.3
net82,2.3
net84,2.3
net89,2.3
_097_,2.27
_068_,2.16
_131_,2.16
_146_,2.16
_022_,2.125
_028_,2.125
_058_,2.125
_000_,2.085
_087_,2.07
_180_,2.06
_181_,2.06
_183_,2.06
_156_,2.04
_040_,2.025
_043_,2.025
_057_,2.025
_075_,1.94
net44,1.94
_014_,1.915
_025_,1.865
_035_,1.865
_060_,1.865
net94,1.84
net97,1.84
_185_,1.72
_077_,1.61
_158_,1.6
_196_,1.6
_003_,1.405
_010_,1.405
_020_,1.405
_107_,1.16
_082_,1.15
_161_,1.14
_175_,1.14
_202_,1.14
_203_,1.14
_215_,1.14
_216_,1.14
_218_,1.14
_227_,1.14
_230_,1.14
net98,1.02
