net,length_um
net3,257.26
net18,239.96
net12,224.6
net4,212.44
net7,210.48
net19,194.02
net17,193.97
net2,193.24
net5,187.58
net10,185.38
net1,182.92
net11,179.53
_047_,173.32
_065_,171.34
_068_,168.5
net9,157.89
_057_,155.46
net6,154.36
_096_,154.16
_075_,153.21
_051_,151.24
net8,148.8
_022_,148.32
net28,142.66
_076_,142.05
net14,139.26
_077_,133.465
_082_,131.7
_043_,131.36
_070_,131.25
_095_,128.41
_045_,126.58
_055_,125.94
_098_,124.13
_041_,123.54
_008_,123.52
net15,122.76
_053_,122.16
_044_,121.41
net16,116.44
_071_,112.64
_003_,111.58
net27,110.92
_010_,108.54
_020_,104.79
_025_,103.34
_052_,101.38
net13,100.44
_037_,100.22
_039_,100.16
_004_,96.34
_089_,95.76
_026_,93.42
_006_,93
_011_,92.9
_066_,91.82
_024_,90.58
_007_,88.66
_069_,87.71
_009_,86.5
_030_,84.7
net21,84.12
_080_,83.8
_101_,83.55
_023_,82.46
_100_,81.26
_002_,80.9
_054_,80.28
_088_,79.65
_067_,79.32
_018_,79.22
_078_,78.92
_048_,76.06
_017_,75.64
net22,75.14
_029_,74.94
_092_,74.72
_090_,74.68
_062_,72.74
_091_,72.68
_027_,71.94
_079_,71.78
_085_,70.82
_056_,70.68
net23,70.64
_094_,69.12
_058_,68.84
_005_,67.54
_034_,64.96
_038_,64.66
_014_,64.56
_050_,64.54
_016_,62.82
_049_,62.36
_031_,60.24
_015_,58.48
_061_,55.46
_019_,55.105
net20,54.48
_081_,54.12
net26,53.42
_072_,51.64
_102_,51.24
_064_,50.98
net25,49.76
_074_,48.32
_087_,47.58
_013_,46.08
_099_,42.96
_001_,42.74
_083_,42.64
_105_,38.98
_060_,38.38
_073_,36.96
_033_,36.56
_040_,33.58
_059_,33.52
_021_,31.82
_097_,31.16
_012_,28.28
_086_,26.96
_104_,25.04
_084_,24.2
_036_,23.38
net24,22.7
_042_,18.72
_028_,18.4
out[0],16.49
_032_,12.76
_063_,10.7
_035_,9.46
out[7],8.93
_103_,8.88
opcode[1],7.37
_046_,7.06
A[3],6.77
A[7],6.77
B[3],6.77
opcode[2],6.77
_093_,6.72
out[2],6.55
out[5],6.21
_000_,6.2
A[5],6.09
A[6],6.09
B[1],6.09
A[1],5.97
B[5],5.97
B[7],5.97
B[4],5.41
out[1],5.19
A[0],4.95
A[4],4.95
B[0],4.95
opcode[0],4.95
out[3],4.85
out[4],4.85
out[6],4.85
A[2],4.61
B[2],4.61
B[6],4.61
